,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,feature_weight_sum
cefotaxime,,,0.051033589988946915,0.15715445578098297,0.0,0.0,0.0,0.009811160154640675,0.0,0.007448215037584305,0.0,0.0,0.035470761358737946,0.006756545975804329,,,0.0519268736243248,0.13618697226047516,0.0,0.0,0.0,0.02789555862545967,0.0040207174606621265,0.011737652122974396,0.0,0.0,0.06800487637519836,0.0055017960257828236,,,0.057763393968343735,0.17700578272342682,0.0,0.0,0.0,0.045843202620744705,0.00019376410637050867,0.00010730726353358477,0.0,0.0,0.033477410674095154,0.005802036263048649,,,0.04221419245004654,0.14135432243347168,0.014713283628225327,0.0,0.0,0.022955911234021187,0.0,0.001154127879999578,0.0,0.0,0.04483496770262718,0.009539240039885044,,,0.04486100375652313,0.1609596312046051,0.026024144142866135,0.0,0.0,0.009484942071139812,0.0029952621553093195,0.0,0.0,0.0,0.0496370904147625,0.003674011444672942,,,0.048197466880083084,0.14527927339076996,0.020822865888476372,0.0,0.0,0.015775004401803017,0.005650790873914957,0.0,0.0,0.0,0.027899062260985374,0.004791722167283297,,,0.03929106518626213,0.16992482542991638,0.01625129207968712,0.0,0.0,0.015379232354462147,0.00024870087509043515,0.0,0.0,0.0,0.06377258151769638,0.007186596281826496,,,0.04106878489255905,0.14915771782398224,0.022255798801779747,0.0,0.0,0.041589461266994476,0.0,0.0,0.0,0.0,0.059928711503744125,0.0,,,0.058078307658433914,0.12726491689682007,0.005695211235433817,0.0,0.0,0.03456585109233856,0.0020257967989891768,0.0011033298214897513,0.0,0.0,0.039599403738975525,0.013359135016798973,,,0.04792514815926552,0.14749927818775177,0.01990702748298645,0.0,0.00029717953293584287,0.07988493889570236,0.008032890036702156,0.0019671914633363485,0.001623752759769559,0.0,0.030862517654895782,0.0029686163179576397,,,0.05576538294553757,0.16247941553592682,0.01578807272017002,0.0031435019336640835,0.0,0.012097036466002464,0.005352198611944914,0.005726445931941271,0.0,0.0,0.06516416370868683,0.007732994854450226,,,0.050321295857429504,0.1550997644662857,0.01335224136710167,0.0,0.0,0.030508877709507942,0.0,0.0030335162300616503,0.0,0.0,0.07383684068918228,0.008069034665822983,,,0.04520860314369202,0.16733761131763458,0.0,0.0,0.0012699745129793882,0.017725251615047455,0.019878506660461426,0.0,0.0,0.0,0.02373345196247101,0.004417862743139267,,,0.04888926446437836,0.14304861426353455,0.023682964965701103,0.0,0.0,0.014162085950374603,0.00120864761993289,0.0,0.0,0.0,0.038766734302043915,0.0,,,0.04984429478645325,0.15483947098255157,0.02383906953036785,0.0,0.0,0.009413069114089012,0.01750878617167473,0.010251921601593494,0.0,0.0,0.05842618644237518,0.00782521441578865,4.533424019857193
PLF_561_00017967,0.034347571432590485,0.0,0.00315380422398448,0.0,0.0008972953073680401,0.026097668334841728,0.00841852743178606,0.15206538140773773,0.0,0.0,0.0,0.0,0.0,0.00014991365605965257,0.03091980330646038,0.0,0.00011475482460809872,0.007952081970870495,0.0,0.0,0.0059065259993076324,0.25573569536209106,0.0,0.0,0.0,0.0,0.0,0.0,0.033335693180561066,0.0,0.006285997107625008,0.016669990494847298,0.005114048253744841,0.005553157534450293,0.0011772344587370753,0.09890852868556976,0.0,0.0011175245745107532,0.0,0.0,0.0,0.0,0.041306622326374054,0.0,0.006465517915785313,0.0,0.0,0.0016261473065242171,0.0035065251868218184,0.1585761308670044,0.0,0.0,0.0,0.0,0.0,0.0033083294983953238,0.01774614118039608,0.0007802924956195056,0.004324986599385738,0.0,0.0,0.0062024593353271484,0.00197780248709023,0.2348174899816513,0.0,0.0,0.0,0.0,0.0,0.0,0.038758110255002975,0.0,0.009670303203165531,0.0,0.001420149696059525,0.016146685928106308,0.004795789252966642,0.1681242436170578,0.0,0.004615248646587133,0.0,0.0,0.0,0.0,0.03202399984002113,0.0,0.005775871220976114,0.010790645144879818,0.0,0.001350613310933113,0.00783221609890461,0.1586044877767563,0.0,0.0,0.0,0.0,0.0,0.0,0.02486826293170452,0.0,0.0,0.004585222341120243,0.0,0.003092348575592041,0.0003011033986695111,0.13690979778766632,0.0006588808028027415,0.0,0.0,0.0,0.0,0.00011391776206437498,0.0276628565043211,0.0,0.003995715640485287,0.0011259934399276972,0.022864684462547302,0.0,0.0,0.03600616753101349,0.0,0.0,0.0,0.0,0.0,0.0,0.025969771668314934,0.0007883460493758321,0.0028024250641465187,0.0,0.0,0.003935010638087988,0.013663101010024548,0.022805532440543175,0.0,0.0,0.0,0.0,0.0,0.0,0.019028790295124054,0.0,0.0027577909640967846,0.0,0.0,0.003837939817458391,0.007139086723327637,0.17563675343990326,0.0,0.0,0.0,0.0,0.0,0.0,0.04178910702466965,7.370643288595602e-05,0.0048913536593317986,0.0,0.0,0.0,0.007161034271121025,0.20091508328914642,0.0,0.0,0.0,0.0,0.0,0.0,0.039123810827732086,0.0,0.0010953465243801475,0.0,0.0,0.0005655376589857042,0.0,0.2937238812446594,0.0,0.0,0.0,0.0,0.0,0.0,0.04161340743303299,0.0,0.0,0.0037911648396402597,0.013609860092401505,0.0013531575677916408,0.0,0.1891215294599533,0.0,0.0,0.0,0.0,0.0,0.0,0.024467453360557556,0.0,0.00476826960220933,0.01184430718421936,0.0,0.0,0.00449256831780076,0.11300157010555267,0.0006209577550180256,0.0,0.0,0.0,0.0,0.0,3.1730406126589514
PLF_561_00175318,0.006544705014675856,0.014224445447325706,0.0,0.0,0.0,0.18821974098682404,0.00207178364507854,0.0011308667017146945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13736525177955627,0.0,0.0,0.0,0.0003862805606331676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16137278079986572,0.0,0.0,0.0,0.0,0.0,0.0,0.0028687415178865194,0.0,0.012236060574650764,0.0,0.0,0.0,0.31663399934768677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013533466262742877,0.0005240833852440119,0.0,0.0010186453582718968,0.000640709069557488,0.1462056040763855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003417783591430634,0.0,0.0,0.21830321848392487,0.0,0.0,0.0,0.0010952269658446312,0.0,0.0,0.0,0.0,0.0,0.0,0.0012616029707714915,0.0,0.0002903749991673976,0.18504256010055542,0.0,0.0,0.0,0.006769106723368168,0.0,0.0,0.0,0.0,0.0,7.384218770312145e-05,0.0,0.0,0.0,0.15093405544757843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17224498093128204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003068801015615463,0.0,0.1723700612783432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881953477859497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15671469271183014,0.0,0.003168536117300391,0.0,0.0035457827616482973,0.0,0.0,0.0,0.0,0.0,0.00047827253001742065,0.0,0.0,0.0,0.0,0.1862781047821045,0.0,0.0,0.0017769352998584509,0.0,0.0,0.0,0.005098908208310604,0.0,0.0,0.0,0.0,0.00384390982799232,0.0,0.21241818368434906,0.0,0.004645013250410557,0.0,0.0,0.0,0.0,0.004013005644083023,0.0,0.0027319935616105795,0.0,0.0,0.0,0.2110358476638794,0.0006583597860299051,0.0,0.0,0.0039032232016324997,0.0,0.0,0.0,0.0,2.8903368502578815
aztreonam,,0.09514867514371872,0.0,0.0024900217540562153,0.026808230206370354,0.0,0.0,0.00041855816380120814,0.0015669056447222829,0.0,0.0,0.0,0.0,0.0,,0.13842691481113434,0.0022336666006594896,0.004629961680620909,0.00907596480101347,0.0005416532512754202,0.0207661222666502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.09481112658977509,0.00487671559676528,0.0036043052095919847,0.01896054297685623,0.0153153445571661,0.0006429578643292189,9.20502861845307e-05,0.0,0.000841476779896766,0.0,0.0,0.0,0.0,,0.07758554071187973,0.0,0.0022379527799785137,0.026843545958399773,0.0035721040330827236,0.0016074543818831444,0.0003181780339218676,0.0,0.00011578804696910083,0.0,0.0,0.0,0.0,,0.09539704024791718,0.0,0.004686651285737753,0.026029415428638458,0.012554778717458248,0.009313506074249744,0.0009262764360755682,0.00014018251386005431,0.0002680499746929854,0.0,0.0,0.0,0.0,,0.10657957196235657,0.0014004571130499244,0.004077755846083164,0.002255100989714265,0.004392695613205433,0.04354342445731163,0.0002210094826295972,0.0,0.0,0.0,0.0,0.0,0.0,,0.0904679149389267,0.005148773547261953,0.004729950334876776,0.03788921609520912,0.0010208477033302188,0.1061200350522995,0.000215641048271209,0.004533583298325539,0.0013360119191929698,0.0,0.0,0.0,0.0,,0.09301610291004181,0.0,0.001901886542327702,0.018485574051737785,0.010717242024838924,0.003656631102785468,0.0005916423979215324,0.0,0.0006587815005332232,0.0,0.0,0.0,0.0,,0.05028226226568222,0.005331817083060741,0.0035776991862803698,0.03376634046435356,0.0,0.010043595917522907,0.0,0.003131324891000986,0.0008463718695566058,0.0,0.0,0.0,0.0,,0.08563375473022461,0.0,0.00782534945756197,0.03615496680140495,0.0,0.0,0.00028929219115525484,0.00034902311745099723,0.0,0.0,0.0,0.0,0.0,,0.07561026513576508,0.0,0.006464309990406036,0.024267271161079407,0.0009339964599348605,0.02883669175207615,0.00034801996662281454,0.0,0.0,0.0,0.0,0.0,0.0,,0.09857381880283356,0.0,0.005895502399653196,0.012967318296432495,0.006039539817720652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12369509041309357,0.0,0.0014239924494177103,0.02606968954205513,0.045600369572639465,0.0,0.00017825764371082187,0.0,0.0005711643025279045,0.0,0.0,0.0,0.0,,0.09073709696531296,0.0008145708707161248,0.001264698919840157,0.009861252270638943,0.007669215090572834,0.0008422306273132563,0.003155206795781851,0.0,0.0,0.0,0.0,0.0,0.0,,0.10991527140140533,0.0,0.002924613654613495,0.014523149468004704,0.0002634079137351364,0.0017925832653418183,0.0012336299987509847,0.00019311717187520117,9.204854723066092e-05,0.0,0.0,0.0,0.0,2.185796697383921
ceftazidime,,,,,0.08531766384840012,0.005666020326316357,0.07842977344989777,0.000770981190726161,0.011602740734815598,0.0016434084391221404,0.0,0.0,0.002596378792077303,0.0,,,,,0.05755782127380371,0.002792391460388899,0.073339082300663,0.00043367024045437574,0.004808590281754732,0.008961761370301247,0.0,0.0,0.002905969275161624,0.0,,,,,0.04874719679355621,0.06403467059135437,0.0,0.0002466810983605683,0.011883441358804703,0.0016325159231200814,0.0,0.0,0.0,0.0,,,,,0.04914573207497597,0.0007745351758785546,0.050996117293834686,0.00032957899384200573,0.004188533406704664,0.008547640405595303,0.0,0.0,0.0,0.0,,,,,0.06208054721355438,0.07057967782020569,0.0,0.0054065459407866,0.004745005629956722,0.005564551800489426,0.0,0.0,0.0,0.0,,,,,0.04804505407810211,0.002754967426881194,0.06958860903978348,0.0003710880409926176,0.0036773066967725754,0.007343261502683163,0.0,0.0,0.0,0.0,,,,,0.056211404502391815,0.0,0.05453275144100189,0.004132383968681097,0.012099973857402802,0.0053634317591786385,0.0,0.0,0.0,0.0,,,,,0.05637308210134506,0.002133810194209218,0.0642031878232956,0.00027021041023544967,0.009865652769804,0.0023805228993296623,0.0,0.0,0.017121758311986923,0.0,,,,,0.04021574929356575,0.0037033874541521072,0.07152111828327179,0.00017046841094270349,0.017588675022125244,0.0047165448777377605,0.0,0.0,0.00915568694472313,0.0,,,,,0.0421673022210598,0.07547780871391296,0.0030491426587104797,0.0006182783981785178,0.006254003848880529,0.005829873960465193,0.0,0.0017018672078847885,0.0,0.0,,,,,0.05330214649438858,0.0008647952345199883,0.06472070515155792,0.00311480276286602,0.008173216134309769,0.002927283989265561,0.0,0.0,0.006546033546328545,0.0,,,,,0.0690457820892334,0.004984135739505291,0.07163938134908676,0.0,0.0013096759794279933,0.003237856552004814,0.0,0.0,0.0,0.0,,,,,0.04521382600069046,0.07074964046478271,0.0008560649584978819,0.00011631151573965326,0.008988025598227978,0.006009491626173258,0.0,0.005886543542146683,0.0,0.0,,,,,0.05684420093894005,0.06602812558412552,0.00035171344643458724,0.0046082185581326485,0.002892189659178257,0.009220951236784458,0.0,0.0,0.0,0.0,,,,,0.06343148648738861,0.0007325069746002555,0.06746160238981247,0.015357542783021927,0.017652403563261032,0.0006072584073990583,0.0,0.0006671014707535505,0.0,0.0,2.1579086088531767
PLF_561_00004782,0.0005652849795296788,0.0,0.00018592181731946766,0.001373071107082069,0.0008403368992730975,0.0013361499877646565,0.0,0.0001287925406359136,0.0016804998740553856,0.001844288781285286,0.0003739246749319136,0.0013963961973786354,0.09610185027122498,0.01007439848035574,0.0011781009379774332,0.0,0.0001952770253410563,0.0,0.0,0.0007139357039704919,0.0,0.00023842128575779498,0.00044331682147458196,0.0022490129340440035,0.004513724707067013,0.004972967319190502,0.10020726174116135,0.007037583738565445,0.00020947173470631242,0.00013389898231253028,0.0015907726483419538,0.0007113079191185534,0.0002610530355013907,0.0,0.0,0.00016564458201173693,0.0021638537291437387,0.0021647291723638773,0.0008761374047026038,0.019466331228613853,0.1357700228691101,0.0061994437128305435,0.0006554300780408084,0.0001373172999592498,0.00011832141171908006,0.0,0.001151283155195415,0.0006745499558746815,0.00014691265823785216,0.0002765642711892724,0.0027392245829105377,0.0015722702955827117,0.0,0.0,0.09184496104717255,0.007181521039456129,0.00016966325347311795,0.0,0.0005095242522656918,0.00026381664793007076,0.003965625539422035,0.0,0.002524805022403598,0.0,0.002601723186671734,0.002197480294853449,0.0001872443244792521,0.0009864899329841137,0.12050994485616684,0.006533249747008085,0.000351155293174088,0.0,0.00041068694554269314,0.0,0.003561123041436076,0.0012730956077575684,0.0,0.00019137475464958698,0.0014609376667067409,0.0021527004428207874,0.0022358205169439316,0.0,0.15978188812732697,0.009707923047244549,0.0022550667636096478,0.0,0.0015389113686978817,0.0,0.0,0.0021363161504268646,0.00038918928476050496,0.00020139355910941958,0.0016262585995718837,0.0012542072217911482,0.001407262752763927,0.001282470184378326,0.09725308418273926,0.007462465204298496,0.0015487344935536385,0.0,0.00041005798266269267,0.0,0.002789525082334876,0.0,0.0,0.00033572077518329024,0.0018857376417145133,0.001939081004820764,0.0,0.0003332274209242314,0.11946523189544678,0.010543297044932842,0.00037403684109449387,0.0,0.0,0.002244424307718873,0.0007286114851012826,0.0005895955255255103,0.0,0.00046983419451862574,0.0011538997059687972,0.0019790236838161945,0.000324849272146821,0.001941887428984046,0.13197246193885803,0.0060317846946418285,0.0011804060777649283,0.0,7.164249836932868e-05,0.0,0.001308337552472949,0.001148063107393682,0.0015811454504728317,5.67399911233224e-05,0.002609077375382185,0.0010698252590373158,0.0013224008725956082,0.0004875840386375785,0.06683636456727982,0.006908307783305645,0.00026079165400005877,0.0,0.0002560113789513707,0.0,0.0,0.0010429035173729062,0.0,0.0009617836331017315,0.001857717172242701,0.0019935581367462873,0.0003826160973403603,0.0,0.11020715534687042,0.0052226209081709385,0.0006377837271429598,0.00011605372128542513,0.0,0.003468938870355487,0.0006744611891917884,0.0007336275884881616,0.0,0.0007178643718361855,0.002312531229108572,0.00175144721288234,0.0011205183109268546,0.0008834258769638836,0.1376684457063675,0.006204681470990181,0.000759654154535383,0.0,0.002138992538675666,0.0007898489129729569,0.0025061490014195442,0.0019118834752589464,0.0006211908766999841,0.00012256162881385535,0.0017691052053123713,0.0025032858829945326,0.0,0.0,0.12221386283636093,0.005252528004348278,0.0007863937644287944,0.0016806523781269789,0.0003965100913774222,0.00019028701353818178,0.00018573555280454457,0.0,0.0012395452940836549,0.0001713589153951034,0.0010556323686614633,0.0016145030967891216,0.0017160213319584727,0.0033706293907016516,0.08111424744129181,0.010273179970681667,0.00019090813293587416,0.0,0.0002847215218935162,0.0,0.0,0.0008487194427289069,0.0,0.0006904073525220156,0.0029663287568837404,0.0017166131874546409,0.0,0.003938659094274044,0.12033998966217041,0.009767218492925167,1.9874876172980294
